Time,Weight
00:00:41 04.04.23,14.60
00:01:41 04.04.23,14.61
00:02:41 04.04.23,14.60
00:04:41 04.04.23,14.61
00:05:41 04.04.23,14.57
00:06:41 04.04.23,14.61
00:07:41 04.04.23,14.60
00:08:41 04.04.23,14.58
00:09:41 04.04.23,14.59
00:10:49 04.04.23,14.61
00:13:02 04.04.23,14.46
00:14:02 04.04.23,14.47
00:15:02 04.04.23,14.46
00:16:02 04.04.23,14.48
00:17:02 04.04.23,14.45
00:18:02 04.04.23,14.48
00:19:02 04.04.23,14.43
00:21:30 04.04.23,14.45
00:22:30 04.04.23,14.47
00:23:30 04.04.23,14.46
00:24:30 04.04.23,14.48
00:25:30 04.04.23,14.49
00:26:30 04.04.23,14.47
00:27:30 04.04.23,14.51
00:28:30 04.04.23,14.45
00:29:30 04.04.23,14.44
00:30:30 04.04.23,14.46
00:31:30 04.04.23,14.45
00:32:30 04.04.23,14.44
00:33:30 04.04.23,14.46
00:34:30 04.04.23,14.47
00:35:30 04.04.23,14.44
00:36:31 04.04.23,14.47
00:38:30 04.04.23,14.47
00:39:30 04.04.23,14.44
00:40:30 04.04.23,14.45
00:41:30 04.04.23,14.44
00:42:30 04.04.23,14.46
00:43:30 04.04.23,14.45
00:44:30 04.04.23,14.42
00:45:30 04.04.23,14.50
00:49:16 04.04.23,14.45
00:50:16 04.04.23,14.47
00:51:16 04.04.23,14.48
00:52:16 04.04.23,14.44
00:53:16 04.04.23,14.43
00:54:16 04.04.23,14.42
00:55:16 04.04.23,14.47
