Reference Designators;Full Designators;Quantity;Description;Package;Value;Manufacturer;Manufacturer Part Number;Vendor;Vendor Part Number;Top/Bottom;
;;1;Board;Board;;;;;;;
C1, C2, C3, C4;C1, C2, C3, C4;4;CAPACITOR, European symbol;CAPC1005X60;100n;;;;;Top;
C5;C5;1;POLARIZED CAPACITOR, European symbol;140CLH-1010;1000uF;;;;;Top;
C6;C6;1;Capacitor Polarised - Generic;CAPPRD508W65D1000H1100B;;;;;;Top;
JP1;JP1;1;PIN HEADER;2X03;PINHD-2X3;Generic;Generic;;;Top;
R1, R2;R1, R2;2;RESISTOR, European symbol;R0402;1k;;;;;Top;
RS1, RS4;RS1, RS4;2;Normally open jumper;SMT-JUMPER_2_NO_SILK;JUMPER-SMT_2_NO_SILK;;;;;Bottom;
RS2, RS5;RS2, RS5;2;Normally closed trace jumper;SMT-JUMPER_2_NC_TRACE_SILK;JUMPER-SMT_2_NO_SILK;;;;;Bottom;
RS3L, RX, TX;RS3L, RX, TX;3;Normally closed trace jumper;SMT-JUMPER_2_NC_TRACE_SILK;JUMPER-SMT_2_NC_TRACE_SILK;;;;;Bottom;
RS3R;RS3R;1;Normally open jumper;SMT-JUMPER_2_NO_SILK;JUMPER-SMT_2_NC_TRACE_SILK;;;;;Bottom;
RS232;RS232;1;D-SUB, 9POS, PLUG, R/A SLDR;5747840-4;D-DMR009;TE Connectivity;5747840-4;;;Top;
RXD;RXD;1;LED;CHIP-LED0603;RED;;;;;Top;
TTL;TTL;1;Check availability;JST_B6B-PH-K-S(LF)(SN);B6B-PH-K-S(LF)(SN);;;;;Top;
TXD;TXD;1;LED;CHIP-LED0603;GREEN;;;;;Top;
U1;U1;1;TSSOP16 package for SP3232EEY-L/TR. It could be used with other Exar SP3232 parts with the same package, but it's up to you to check for pinout and spacing.Datasheet is available through https://www.exar.com/ds/sp3222e_sp3232e.pdf;TSSOP16;SP3232XTSSOP;;;;;Top;
